,ts,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt
1646,30.01,30.32965572,30.28779652,30.38894258,30.48175019,30.11085806,30.03215883,30.45139543,30.40225491,30.47704337,30.3517386,29.97312889,29.97487064,29.95580782,29.98458631,30.27721503,30.38513966,30.01616726,30.06689313,30.0512089,28.12480876,30.25972082,30.44579046,30.29392805,30.37596025,29.24595638,30.37,30.64724252,29.34164094,30.69816854,27.19880898
1647,30.15,30.48840275,30.4406201,30.54056434,30.65154071,30.24703942,30.53103472,30.67702936,30.53331287,30.64962487,30.45494788,30.47813546,30.49632307,30.48190935,30.48049995,30.73301859,29.9871216,30.53180205,30.27067077,30.50042832,28.68693534,30.14313873,30.24468113,30.07286546,30.33310062,29.09049962,30.01,30.30936683,28.90103733,30.21744629,27.19880898
1648,30.06,30.50542219,30.42649735,30.42735667,30.69688785,30.20826403,30.79532263,30.75941144,30.22607564,30.69826353,29.92980979,29.8837899,29.85834944,29.86021474,29.94277392,30.14329571,30.09134825,29.90556814,29.84696049,29.96207911,28.40831067,30.15745114,30.27243162,30.10449243,30.32201926,29.06418336,30.15,30.38083691,28.91192011,30.32009667,27.19880898
1649,33.04,31.53561873,31.48371618,31.5271935,31.74260815,31.29264665,30.66136403,31.75576744,30.98749434,31.72301891,30.45494788,30.31669435,30.22660335,30.25499653,30.37987308,30.52557754,30.02189175,30.31030821,30.05067233,30.38478232,28.72693111,30.03405635,30.20615257,30.03001144,30.17169729,28.94841347,30.06,30.28674264,28.65411872,30.36956451,27.19880898
1650,30.98,31.460908,31.44093833,31.7064574,31.67205154,31.29106225,31.62764646,31.66170949,31.36167792,31.68820711,30.45494788,31.35394094,31.0423573,31.29501342,30.7475048,30.84867322,33.02845479,31.51656196,29.994955,29.5043213,28.44830644,31.9344418,32.06088664,32.33438895,31.42498996,30.87308095,33.04,32.94089593,29.82387436,30.28007295,29.49566062
1651,30.28,30.21309403,30.17991592,30.72403033,30.41008462,30.09700881,31.48168434,30.38067145,31.01411682,30.46671858,29.92980979,30.97054054,30.82117577,30.85755945,30.12683319,30.98151687,30.96195299,30.88040679,30.19265969,30.33395878,28.72693111,31.00452512,31.28894918,31.22814825,31.07340441,30.15115511,30.98,31.42831242,29.41925488,32.06655538,27.19880898
1652,30.83,30.81105902,30.69181065,30.89136873,31.0410542,30.42567449,30.61995509,31.08263386,31.29964303,30.97397977,30.45494788,30.45723841,30.49165365,30.41065205,30.13179979,30.65580326,30.25082801,30.27748178,30.52197678,31.31369979,28.49094154,30.75835436,30.70810386,30.50416304,30.89237852,29.66835765,30.28,30.77439436,29.92336887,31.33570246,27.19880898
1653,30.78,30.70588863,30.65106054,30.72507744,30.89981424,30.41205997,30.91290831,30.93073289,31.10179166,30.93507547,30.45494788,30.7199484,30.6627956,30.58549928,30.98944528,30.92953506,30.9171968,30.59363888,30.31678086,30.4966882,28.58816549,30.93190068,30.97603151,30.76075234,31.39306333,29.74363944,30.83,31.02652663,29.51020539,31.09546284,27.19880898
1654,30.16,29.85643855,29.81059211,29.98673069,30.06792439,29.58505291,30.84368896,30.00484671,30.41713466,30.08517993,29.92980979,30.45539445,30.37133175,30.31414725,30.37606553,30.79240423,30.75346745,30.08709512,30.24180683,30.67563336,32.99186327,30.60934421,30.82983036,30.61117494,30.97869262,29.51370466,30.78,30.86653122,29.17296067,30.7769305,27.19880898
1655,30.13,30.2019636,30.13876276,30.35007537,30.44399502,29.89994686,30.06995938,30.49548396,30.78128448,30.4084316,28.83279208,30.51805718,30.52848938,30.46020033,30.66947785,30.90260286,30.0701186,30.2930592,30.42018004,30.55906275,32.93463509,30.27516082,30.46518796,30.23680543,30.39918376,29.14038121,30.16,30.4806694,28.91624636,30.52851618,25.03833539
